Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
8,9;18,75;0;38;76;80;1,4;627;17,62740183792815371762740183792815371763;80
8,7;18,75;0;37;67;82;1,4;633;13,17418213969938107869142351900972590628;79,6
9,1;18,94;0;39;37;77;1,4;658;11,33746678476527900797165633303808680248;83,4
7;18,75;0;39;73;81;1,4;622;18,88888888888888888888888888888888888889;77,8
7;18,94;0;38;38;77;1,4;657;8,0525883319638455217748562037797863599;86,2
8,9;18,75;0;37;70;82;1,5;631;19,37321937321937321937321937321937321937;78,2
9,3;18,94;0;36;36;77;1,4;646;12,40105540897097625329815303430079155673;85,8
8,5;18,75;0;36;65;82;1,4;634;15,31620553359683794466403162055335968379;79,6
9,2;18,75;0;39;77;79;1,4;623;15,49421193232413178984861976847729296527;81,2
9,2;18,75;0;36;36;74;1,5;650;14,5930776426566884939195509822263797942;84
9,4;18,75;0;37;78;79;1,4;623;13,21462043111527647610121836925960637301;79,4
9,1;18,94;0;38;41;77;1,5;664;14,37847866419294990723562152133580705009;80,6
9,4;18,94;0;36;35;76;1,4;659;14,27203065134099616858237547892720306513;83,8
9;18,75;0;38;68;83;1,4;635;10,9553023663453111305872042068361086766;80
9,2;18,94;0;38;41;77;1,5;655;12,45454545454545454545454545454545454545;81,6
9,3;18,75;0;37;73;82;1,4;630;19,48669201520912547528517110266159695817;78,2
8,9;18,94;0;37;37;75;1,4;665;14,24632352941176470588235294117647058824;82
9,2;18,75;0;37;73;81;1,4;628;17,73485513608428446005267778753292361721;79,8
8,5;18,94;0;37;38;77;1,4;662;14,55026455026455026455026455026455026455;83,2
9;18,75;0;38;69;82;1,5;637;11,37397634212920837124658780709736123749;83,2
9,3;18,94;0;38;38;78;1,5;655;8,33982852689010132501948558067030397506;87
8,9;18,75;0;36;75;83;1,4;632;15,2555910543130990415335463258785942492;82,2
8,5;18,94;0;37;37;75;1,5;656;9,39226519337016574585635359116022099448;85,6
6,6;18,75;0;40;71;84;1,7;648;15,17077045274027005559968228752978554408;73
8,8;18,75;0;42;75;84;1,6;626;15,33388293487221764220939818631492168178;77,6
8,8;18,94;0;36;36;77;1,5;661;8,05532953620829943043124491456468673718;87,4
3,7;18,75;0;45;76;84;1,6;562;17,25663716814159292035398230088495575221;72
3,5;18,94;0;38;42;76;1,4;625;10,4;83,4
5,3;18,75;0;44;73;84;1,7;603;15,63670411985018726591760299625468164794;84
8,6;18,75;0;40;65;78;1,7;529;14,3728222996515679442508710801393728223;77,6
9,2;18,94;0;39;42;72;1,5;558;13,72360844529750479846449136276391554702;80
9,1;18,75;0;38;73;78;1,7;594;19,81900452488687782805429864253393665158;75,4
9,1;18,75;0;38;78;80;1,7;629;14,6969696969696969696969696969696969697;83
8,7;18,75;0;37;39;74;1,5;652;12,85714285714285714285714285714285714286;84
9;18,75;0;37;69;80;1,8;626;14,09727947238252267106347897774113767519;76
9;18,94;0;37;34;74;1,5;658;5,91240875912408759124087591240875912409;87,2
5,2;18,75;0;37;66;84;1,7;634;10,19376579612468407750631844987363100253;81,2
8,7;18,75;0;37;69;84;1,7;643;17,593360995850622406639004149377593361;77,2
7,1;18,75;0;45;80;80;1,7;619;14,37229437229437229437229437229437229437;84,6
7,1;18,75;0;38;39;74;1,5;656;13,10541310541310541310541310541310541311;85,2
8,5;18,75;0;43;78;82;1,7;634;15,41038525963149078726968174204355108878;81,2
3,4;18,75;0;44;79;79;1,4;624;20,29616724738675958188153310104529616725;73,4
8,9;18,46;0;37;34;77;1,5;651;11,76012461059190031152647975077881619938;81,2
9,5;18,75;0;44;70;84;1,7;632;17,54916792738275340393343419062027231467;65
9,5;18,94;0;36;33;77;1,5;658;10,35226455787203450754852624011502516175;80
7;18,94;0;37;35;78;1,4;657;16,76245210727969348659003831417624521073;82,6
9,4;18,94;0;38;37;77;1,4;661;17,53022452504317789291882556131260794473;79,6
8,6;18,94;0;38;39;77;1,4;661;15,39196940726577437858508604206500956023;80,2
